Fecha,ECOPETROL.CL_Open,ECOPETROL.CL_High,ECOPETROL.CL_Low,ECOPETROL.CL_Close,ECOPETROL.CL_Volume,ECOPETROL.CL_Missing,ISA.CL_Open,ISA.CL_High,ISA.CL_Low,ISA.CL_Close,ISA.CL_Volume,ISA.CL_Missing,GEB.CL_Open,GEB.CL_High,GEB.CL_Low,GEB.CL_Close,GEB.CL_Volume,GEB.CL_Missing,GRUPOARGOS.CL_Open,GRUPOARGOS.CL_High,GRUPOARGOS.CL_Low,GRUPOARGOS.CL_Close,GRUPOARGOS.CL_Volume,GRUPOARGOS.CL_Missing,CEMARGOS.CL_Open,CEMARGOS.CL_High,CEMARGOS.CL_Low,CEMARGOS.CL_Close,CEMARGOS.CL_Volume,CEMARGOS.CL_Missing,NUTRESA.CL_Open,NUTRESA.CL_High,NUTRESA.CL_Low,NUTRESA.CL_Close,NUTRESA.CL_Volume,NUTRESA.CL_Missing,BVC.CL_Open,BVC.CL_High,BVC.CL_Low,BVC.CL_Close,BVC.CL_Volume,BVC.CL_Missing,EXITO.CL_Open,EXITO.CL_High,EXITO.CL_Low,EXITO.CL_Close,EXITO.CL_Volume,EXITO.CL_Missing,BOGOTA.CL_Open,BOGOTA.CL_High,BOGOTA.CL_Low,BOGOTA.CL_Close,BOGOTA.CL_Volume,BOGOTA.CL_Missing,GRUPOSURA.CL_Open,GRUPOSURA.CL_High,GRUPOSURA.CL_Low,GRUPOSURA.CL_Close,GRUPOSURA.CL_Volume,GRUPOSURA.CL_Missing,EC_Open,EC_High,EC_Low,EC_Close,EC_Volume,EC_Missing,CIB_Open,CIB_High,CIB_Low,CIB_Close,CIB_Volume,CIB_Missing,AVAL_Open,AVAL_High,AVAL_Low,AVAL_Close,AVAL_Volume,AVAL_Missing,TGLS_Open,TGLS_High,TGLS_Low,TGLS_Close,TGLS_Volume,TGLS_Missing,VOO_Open,VOO_High,VOO_Low,VOO_Close,VOO_Volume,VOO_Missing,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_Missing,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,QQQ_Missing,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Volume,IWM_Missing,EFA_Open,EFA_High,EFA_Low,EFA_Close,EFA_Volume,EFA_Missing,EEM_Open,EEM_High,EEM_Low,EEM_Close,EEM_Volume,EEM_Missing,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,GLD_Missing,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_Volume,TLT_Missing,VNQ_Open,VNQ_High,VNQ_Low,VNQ_Close,VNQ_Volume,VNQ_Missing,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Volume,XLE_Missing,XLK_Open,XLK_High,XLK_Low,XLK_Close,XLK_Volume,XLK_Missing,XLF_Open,XLF_High,XLF_Low,XLF_Close,XLF_Volume,XLF_Missing,DIA_Open,DIA_High,DIA_Low,DIA_Close,DIA_Volume,DIA_Missing
2021-04-19,2300.0,2319.0,2290.0,2300.0,2267381,0,22620.0,22700.0,22500.0,22620.0,108860,0,2627.0,2630.0,2613.0,2627.0,760963,0,11360.0,11520.0,11300.0,11360.0,208507,0,5390.0,5390.0,5290.0,5390.0,715513,0,21119.8125,21212.443359,20860.447266,21119.8125,116352,0,12390.0,12390.0,12290.0,12390.0,32160,0,4063.333252,4063.333252,3950.0,4063.333252,13923,0,71283.726562,71423.203125,71283.726562,71283.726562,8652,0,20400.0,20840.0,20400.0,20400.0,271744,0,12.9,12.95,12.73,12.88,960400,0,33.779999,33.779999,32.779999,33.139999,207200,0,6.4,6.4,6.22,6.22,110700,0,12.08,12.92,11.87,12.81,170400,0,382.619995,383.089996,380.369995,381.73999,3945700,0,416.26001,416.73999,413.790009,415.209991,78498500,0,340.390015,341.579987,336.899994,338.880005,34533100,0,223.710007,224.660004,219.940002,221.729996,25285900,0,79.370003,79.419998,78.940002,79.150002,15206800,0,54.240002,54.34,53.959999,54.150002,34318500,0,165.910004,166.440002,165.720001,165.889999,5721700,0,138.740005,139.309998,138.550003,138.860001,13886800,0,96.169998,96.309998,95.510002,96.309998,2882900,0,24.25,24.43,23.940001,24.174999,40827800,0,71.330002,71.660004,70.629997,71.055,10254000,0,35.389999,35.490002,35.18,35.299999,31172300,0,341.070007,341.309998,339.649994,340.75,3222800,0
2021-04-20,2281.0,2300.0,2253.0,2281.0,14066953,0,22740.0,22740.0,22400.0,22740.0,249407,0,2625.0,2634.0,2620.0,2625.0,653080,0,11430.0,11500.0,11300.0,11430.0,558333,0,5400.0,5420.0,5310.0,5400.0,560643,0,21027.181641,21305.074219,20971.603516,21027.181641,255016,0,12500.0,12500.0,12390.0,12500.0,162761,0,3966.666748,4000.0,3966.666748,3966.666748,25626,0,71293.023438,72966.789062,71283.726562,71293.023438,5248,0,20600.0,20780.0,20390.0,20600.0,304189,0,12.72,12.75,12.35,12.44,1573700,0,32.91,32.98,32.25,32.360001,283200,0,6.22,6.3,6.16,6.27,240900,0,12.63,12.94,11.9,12.17,138500,0,380.48999,381.160004,377.470001,378.940002,4106700,0,413.910004,415.089996,410.589996,412.170013,81851800,0,338.200012,339.519989,334.380005,336.410004,38081800,0,220.770004,221.619995,215.240005,217.190002,35570800,0,78.239998,78.330002,77.550003,77.730003,29570100,0,54.09,54.200001,53.560001,53.709999,27732600,0,165.649994,166.809998,165.619995,166.479996,6532000,0,138.449997,139.759995,138.429993,139.5,11476500,0,96.160004,97.279999,96.120003,97.099998,4968700,0,24.09,24.125,23.295,23.535,72574000,0,70.904999,71.214996,70.029999,70.425003,9873400,0,35.09,35.110001,34.52,34.639999,50227700,0,339.399994,339.859985,336.75,338.119995,3762900,0
2021-04-21,2262.0,2270.0,2245.0,2262.0,14922111,0,22590.0,23150.0,22590.0,22590.0,145833,0,2630.0,2641.0,2625.0,2630.0,874273,0,11400.0,11480.0,11300.0,11400.0,16361,0,5350.0,5390.0,5340.0,5350.0,126031,0,20841.921875,21230.970703,20712.238281,20841.921875,120135,0,12470.0,12530.0,12450.0,12470.0,33437,0,3966.666748,3966.666748,3966.666748,3966.666748,3210,0,71190.734375,71293.023438,71190.734375,71190.734375,3107,0,20950.0,20960.0,20680.0,20950.0,381164,0,12.21,12.53,12.21,12.51,1225500,0,32.400002,32.84,32.189999,32.669998,252200,0,6.22,6.35,6.2,6.27,95400,0,12.17,12.55,11.5,11.63,373500,0,378.279999,382.670013,378.140015,382.5,3640100,0,411.51001,416.290009,411.359985,416.070007,66793000,0,335.089996,339.480011,333.970001,339.290009,36598100,0,217.020004,222.619995,215.5,222.5,31147800,0,77.580002,78.559998,77.559998,78.529999,15615600,0,53.459999,54.07,53.34,54.040001,33407600,0,167.179993,168.389999,167.149994,168.130005,8380200,0,139.539993,139.910004,139.070007,139.779999,11902200,0,97.220001,97.910004,96.870003,97.739998,4407000,0,23.235001,23.92,23.125,23.834999,56991000,0,70.300003,71.160004,70.105003,71.135002,9254200,0,34.52,35.150002,34.419998,35.119999,39680000,0,337.630005,341.540009,337.559998,341.299988,4191200,0
2021-04-22,2250.0,2267.0,2247.0,2250.0,3524786,0,22500.0,23000.0,22500.0,22500.0,166230,0,2630.0,2645.0,2625.0,2630.0,1092389,0,11350.0,11400.0,11310.0,11350.0,175101,0,5325.0,5350.0,5200.0,5325.0,323908,0,20554.765625,21110.550781,20554.765625,20554.765625,71341,0,12420.0,12480.0,12300.0,12420.0,55963,0,3933.333252,3940.0,3933.333252,3933.333252,16296,0,70707.203125,71599.875,70707.203125,70707.203125,2966,0,20860.0,20980.0,20750.0,20860.0,92327,0,12.53,12.55,12.34,12.4,726000,0,32.689999,32.849998,32.029999,32.139999,189600,0,6.24,6.31,6.22,6.27,28900,0,11.75,12.35,11.68,12.15,124500,0,382.320007,383.119995,377.959991,378.98999,3965000,0,415.890015,416.779999,411.130005,412.269989,97582800,0,338.890015,339.899994,334.01001,335.200012,45936100,0,223.259995,225.330002,220.779999,221.580002,31943700,0,78.709999,78.779999,78.139999,78.269997,22677800,0,54.080002,54.189999,53.68,53.849998,39452000,0,167.110001,167.529999,166.490005,167.039993,7680100,0,140.0,140.389999,139.199997,140.389999,14156400,0,97.730003,98.129997,96.989998,97.209999,3207200,0,23.950001,23.959999,23.475,23.555,50062800,0,71.010002,71.315002,69.989998,70.300003,11652200,0,35.080002,35.130001,34.669998,34.73,43611200,0,341.119995,341.209991,337.089996,338.119995,4962500,0
2021-04-23,2228.0,2256.0,2224.0,2228.0,5199199,0,22300.0,22600.0,22300.0,22300.0,166247,0,2619.0,2630.0,2619.0,2619.0,613906,0,11280.0,11340.0,11280.0,11280.0,16294,0,5235.0,5320.0,5230.0,5235.0,1337616,0,20360.240234,20471.398438,20193.505859,20360.240234,72885,0,12480.0,12490.0,12400.0,12480.0,184245,0,3933.333252,3933.333252,3933.333252,3933.333252,1494,0,70251.570312,70679.3125,70251.570312,70251.570312,3640,0,20620.0,21080.0,20620.0,20620.0,99221,0,12.42,12.43,12.22,12.32,828800,0,32.27,32.299999,31.620001,31.620001,189800,0,6.24,6.291,6.218,6.25,67200,0,12.15,12.59,12.15,12.47,66000,0,379.570007,384.459991,379.459991,383.029999,3781100,0,412.869995,418.25,412.790009,416.73999,73209200,0,335.850006,340.769989,335.850006,339.420013,36381900,0,222.820007,226.649994,222.020004,225.759995,27999500,0,78.550003,79.230003,78.529999,79.07,18607900,0,54.380001,54.689999,54.34,54.630001,27062900,0,167.369995,167.529999,165.779999,166.399994,7106400,0,140.380005,140.470001,139.490005,140.059998,12302200,0,97.43,97.980003,97.139999,97.779999,5225600,0,23.575001,23.875,23.434999,23.77,33897800,0,70.43,71.574997,70.415001,71.349998,8886000,0,34.73,35.529999,34.669998,35.380001,50437700,0,337.75,341.589996,337.130005,340.429993,3613900,0
2021-04-26,2270.0,2287.0,2220.0,2270.0,7838254,0,22050.0,22470.0,22000.0,22050.0,267840,0,2619.0,2619.0,2619.0,2619.0,0,0,11000.0,11330.0,11000.0,11000.0,223593,0,5300.0,5300.0,5235.0,5300.0,219688,0,20045.296875,20360.240234,19934.138672,20045.296875,84319,0,12040.0,12110.0,11860.0,12040.0,89764,0,3933.333252,3933.333252,3933.333252,3933.333252,0,0,71320.921875,71320.921875,70316.65625,71320.921875,5690,0,20400.0,20710.0,20400.0,20400.0,217382,0,12.25,12.51,12.25,12.34,919100,0,31.82,31.9,31.5,31.5,95600,0,6.21,6.28,6.2,6.27,92200,0,12.5,12.8,12.45,12.66,105700,0,383.730011,384.450012,383.320007,383.859985,3125200,0,417.440002,418.220001,416.809998,417.609985,52182400,0,339.670013,341.920013,338.899994,341.630005,30812000,0,227.0,228.690002,226.75,228.110001,19069200,0,79.099998,79.230003,79.0,79.129997,14052100,0,54.540001,54.75,54.43,54.700001,26805200,0,166.630005,166.869995,166.050003,166.839996,4786600,0,140.149994,140.509995,139.850006,139.860001,9103500,0,98.099998,98.650002,97.839996,98.07,5404600,0,23.68,24.110001,23.68,23.93,35891800,0,71.375,71.790001,71.324997,71.714996,7735000,0,35.509998,35.849998,35.48,35.52,43749700,0,341.149994,341.480011,339.390015,339.869995,2090900,0
2021-04-27,2287.0,2302.0,2269.0,2287.0,7795390,0,21660.0,22390.0,21600.0,21660.0,832123,0,2610.0,2625.0,2610.0,2610.0,1301073,0,10900.0,11150.0,10900.0,10900.0,209018,0,5375.0,5405.0,5310.0,5375.0,326084,0,19971.191406,20184.242188,19915.613281,19971.191406,594752,0,12300.0,12300.0,12000.0,12300.0,196594,0,3833.333252,3870.0,3833.333252,3833.333252,35844,0,72994.679688,72994.679688,71246.53125,72994.679688,13489,0,20600.0,20800.0,20400.0,20600.0,365190,0,12.35,12.36,12.28,12.31,761000,0,31.76,32.110001,31.43,31.870001,270200,0,6.31,6.31,6.22,6.27,186700,0,12.75,13.12,12.65,12.98,120000,0,384.200012,384.380005,382.720001,383.73999,3370600,0,417.929993,418.140015,416.299988,417.519989,51303100,0,341.929993,342.149994,339.170013,340.149994,33187200,0,228.710007,229.389999,227.509995,228.449997,19648100,0,78.739998,78.93,78.639999,78.870003,13612200,0,54.689999,54.84,54.580002,54.669998,25563100,0,166.919998,167.149994,166.279999,166.419998,5363500,0,139.589996,139.820007,138.529999,138.639999,14137300,0,98.360001,98.400002,97.809998,98.059998,3091100,0,24.02,24.305,23.91,24.219999,42268800,0,71.830002,71.885002,71.285004,71.540001,10822000,0,35.57,35.849998,35.490002,35.799999,50852400,0,339.600006,340.429993,338.700012,339.829987,2732700,0
2021-04-28,2332.0,2339.0,2290.0,2332.0,9592224,0,21340.0,21600.0,21260.0,21340.0,989507,0,2625.0,2628.0,2615.0,2625.0,1402412,0,11040.0,11090.0,10750.0,11040.0,483625,0,5310.0,5395.0,5310.0,5310.0,95049,0,20545.501953,20545.501953,19989.71875,20545.501953,81199,0,12270.0,12290.0,12200.0,12270.0,62680,0,3833.333252,3870.0,3833.333252,3833.333252,35844,0,72222.890625,72697.125,72074.109375,72222.890625,3804,0,20160.0,20630.0,20160.0,20160.0,239872,0,12.38,12.69,12.37,12.66,1279800,0,32.110001,32.400002,31.49,31.49,183900,0,6.24,6.265,6.1,6.14,462900,0,13.1,13.1,12.51,12.63,111400,0,384.100006,385.170013,383.23999,383.559998,3960400,0,417.809998,419.01001,416.899994,417.399994,51238900,0,339.809998,340.850006,338.329987,339.0,33615700,0,228.080002,229.490005,227.100006,228.839996,16222700,0,78.809998,79.260002,78.739998,79.07,14288600,0,54.93,55.34,54.759998,55.080002,37381000,0,165.75,166.960007,165.490005,166.910004,6932200,0,138.649994,138.889999,137.960007,138.729996,15263700,0,98.309998,98.440002,97.800003,97.849998,3509200,0,24.4,25.15,24.379999,25.055,65874000,0,71.125,71.220001,70.705002,70.875,10691200,0,35.939999,36.040001,35.830002,35.939999,35771700,0,339.230011,339.48999,338.059998,338.369995,3025100,0
2021-04-29,2310.0,2374.0,2310.0,2310.0,6363904,0,21400.0,22150.0,21260.0,21400.0,1129954,0,2630.0,2639.0,2620.0,2630.0,418616,0,10810.0,11190.0,10810.0,10810.0,66394,0,5230.0,5390.0,5200.0,5230.0,139760,0,20916.025391,20916.025391,20165.716797,20916.025391,29937,0,12180.0,12280.0,12040.0,12180.0,69007,0,3833.333252,3833.333252,3833.333252,3833.333252,12075,0,73385.226562,73385.226562,72780.8125,73385.226562,1202,0,19600.0,20360.0,19480.0,19600.0,366032,0,12.79,12.82,12.5,12.51,560400,0,31.6,31.6,30.59,30.85,160900,0,6.14,6.19,6.06,6.06,59500,0,12.79,12.92,12.16,12.34,91600,0,386.399994,386.73999,382.809998,386.119995,4209900,0,420.320007,420.720001,416.440002,420.059998,78544300,0,342.369995,342.799988,336.899994,340.220001,37708900,0,230.850006,230.949997,225.789993,227.990005,25500300,0,79.339996,79.379997,78.610001,79.099998,16411000,0,55.259998,55.27,54.5,54.950001,36617000,0,165.580002,166.259995,164.470001,166.220001,9067600,0,137.449997,138.360001,137.130005,138.320007,17178200,0,98.5,99.129997,98.029999,98.690002,3319100,0,25.415001,25.645,25.025,25.334999,66042400,0,71.455002,71.544998,70.095001,70.815002,13416600,0,36.220001,36.610001,36.189999,36.580002,48573000,0,339.890015,340.859985,337.369995,340.570007,3688400,0
2021-04-30,2210.0,2299.0,2210.0,2210.0,33073566,0,21380.0,21620.0,21060.0,21380.0,377990,0,2610.0,2630.0,2605.0,2610.0,1608377,0,10590.0,10970.0,10500.0,10590.0,190866,0,5130.0,5210.0,5090.0,5130.0,439635,0,19915.613281,20656.660156,19915.613281,19915.613281,70231,0,11950.0,12100.0,11840.0,11950.0,80825,0,3890.0,3890.0,3670.0,3890.0,16185,0,72994.679688,73357.328125,72994.679688,72994.679688,1443,0,19160.0,19700.0,19160.0,19160.0,153082,0,12.35,12.39,11.75,11.83,1631600,0,30.66,30.66,29.860001,29.93,177100,0,6.06,6.06,5.89,5.92,75500,0,12.27,12.31,11.72,11.96,131300,0,383.910004,384.76001,382.730011,383.570007,5219200,0,417.630005,418.540009,416.339996,417.299988,85527000,0,337.700012,340.26001,337.049988,337.98999,38263400,0,225.720001,227.800003,224.139999,224.889999,27006000,0,78.620003,78.75,77.830002,78.110001,28951400,0,54.27,54.369999,53.849998,53.98,46299900,0,165.860001,166.0,165.240005,165.660004,6248700,0,138.509995,138.729996,137.979996,138.639999,15692000,0,98.389999,99.300003,98.209999,99.080002,4371300,0,24.975,25.32,24.639999,24.695,58519000,0,70.095001,70.474998,69.684998,69.849998,10583400,0,36.380001,36.509998,36.200001,36.259998,43940900,0,338.920013,339.649994,337.850006,338.940002,2909600,0
